epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,136.139,1.313,0.6393,0.00849,0.80661,0.67937,0.71685,0.31686,2.03006,1.2492,0.02129,0.00157291,0.00157291,0.00157291
115,137.284,1.50949,0.62698,0.00834,0.71193,0.67937,0.70229,0.29363,1.99772,1.24758,0.02181,0.00157208,0.00157208,0.00157208
116,138.435,1.28943,0.63227,0.00814,0.74634,0.62104,0.65785,0.28293,2.04675,1.29128,0.0213,0.00157124,0.00157124,0.00157124
117,139.581,1.37034,0.57927,0.00818,0.68364,0.60952,0.60535,0.28364,2.03034,1.29139,0.02152,0.00157041,0.00157041,0.00157041
118,140.775,1.36932,0.58403,0.00879,0.61626,0.58273,0.58821,0.29486,1.98588,1.18595,0.02042,0.00156958,0.00156958,0.00156958
119,141.833,1.27652,0.62873,0.00874,0.58278,0.66508,0.59157,0.29201,1.94365,1.12969,0.02025,0.00156875,0.00156875,0.00156875
120,142.823,1.45332,0.63738,0.01072,0.59811,0.73492,0.59816,0.29459,1.88726,1.12932,0.01951,0.00156791,0.00156791,0.00156791
121,144.113,1.25599,0.5794,0.00865,0.63943,0.73045,0.64937,0.3367,1.8746,1.14848,0.01829,0.00156708,0.00156708,0.00156708
122,145.367,1.37577,0.58779,0.00957,0.60184,0.77698,0.63998,0.32089,1.89608,1.23887,0.01845,0.00156625,0.00156625,0.00156625
123,146.503,1.29752,0.55434,0.00853,0.54491,0.72143,0.63386,0.29944,1.94795,1.25938,0.01944,0.00156541,0.00156541,0.00156541
124,147.749,1.11016,0.58561,0.0089,0.74819,0.56825,0.61185,0.28904,2.05039,1.22984,0.02172,0.00156458,0.00156458,0.00156458
125,148.905,1.35686,0.58501,0.01075,0.66963,0.65159,0.59763,0.27261,2.03208,1.19749,0.02355,0.00156375,0.00156375,0.00156375
126,149.999,1.37197,0.58885,0.01065,0.61366,0.69396,0.64692,0.28826,2.01061,1.15246,0.02298,0.00156292,0.00156292,0.00156292
